Vanilla model + Positive Masculine words,Vanilla model + Negative Masculine words,Vanilla model + Neutral Masculine words,Vanilla model + Positive Feminine words,Vanilla model + Negative Feminine words,Vanilla model + Neutral Feminine words,Bolu model + Positive Masculine words,Bolu model + Negative Masculine words,Bolu model + Neutral Masculine words,Bolu model + Positive Feminine words,Bolu model + Negative Feminine words,Bolu model + Neutral Feminine words,Wino model + Positive Masculine words,Wino model + Negative Masculine words,Wino model + Neutral Masculine words,Wino model + Positive Feminine words,Wino model + Negative Feminine words,Wino model + Neutral Feminine words,Wino and Bolu model + Positive Masculine words,Wino and Bolu model + Negative Masculine words,Wino and Bolu model + Neutral Masculine words,Wino and Bolu model + Positive Feminine words,Wino and Bolu model + Negative Feminine words,Wino and Bolu model + Neutral Feminine words
0.039087698,0.0033851415,0.023064349,0.14230902,0.0041070953,NaN,8.988228841766421e-10,6.4144163036683466e-09,1.9254801086887596e-09,4.809969020302951e-09,7.1866595591218996e-09,NaN,0.002328381,0.0061650425,0.017585874,0.044113398,0.00012382492,NaN,2.6751564990989962e-09,4.154836460990019e-09,7.209394747853537e-10,3.391881997494295e-09,6.343564611099861e-09,NaN
0.025173012,0.012897626,NaN,0.23058592,0.042958803,0.0022286177,3.735081362254977e-09,6.148354741997153e-09,NaN,1.775305252804671e-08,4.147782825536517e-09,4.106913864543316e-09,0.009342166,0.03069675,NaN,0.06292345,0.0068488,0.011231333,3.8661378057303075e-09,4.856981067336008e-09,NaN,7.868367943308918e-09,1.275625303304162e-08,1.6664984087144674e-08
0.025371365,0.057903875,NaN,0.078096926,0.06695044,0.12733509,6.747834620929316e-09,8.321638440833556e-09,NaN,4.398812744610403e-09,4.681105501488925e-09,6.619602088697718e-09,0.004257139,0.021865882,NaN,0.03930276,0.004184015,0.07847048,1.2192017024431623e-08,1.8185255801217437e-09,NaN,5.286210642829747e-09,1.4611156062827035e-08,2.728549977973338e-09
0.037589774,0.018432193,NaN,0.12733509,0.08394989,0.07680452,3.6007075376875974e-09,4.136181785963089e-09,NaN,6.619602088697718e-09,3.90245802860123e-09,1.3596701597951011e-08,0.005209159,0.0028776522,NaN,0.07847048,0.04817821,0.050235763,1.897140410045406e-09,7.460605404296938e-09,NaN,2.728549977973338e-09,1.1087902943018868e-08,4.290737375643727e-09
0.12562525,0.017606229,0.11506581,0.22908036,0.122540355,0.16570191,5.685599796523277e-09,6.46388634284456e-09,1.0318302295919679e-08,3.4580174640419514e-08,6.493042312150088e-09,0.13424641906092916,0.023244452,0.005922094,0.011972949,0.07020965,0.014010325,0.06335028,1.17676659250332e-08,3.730487072028943e-09,2.794788067639331e-09,3.7211311167822947e-09,4.859364299836244e-11,0.05090657340371679
0.09359609,0.002509281,0.16588011,0.030003518,0.08447238,0.0039421916,7.131270712834592e-10,1.1592099641299924e-09,0.19060262663667948,9.259518249371546e-09,5.19217260852578e-09,1.3183038827246918e-09,0.018699264,0.015586163,0.042610757,0.017518688,0.004963644,0.0051900893,7.609351392046104e-09,4.945660096733473e-09,0.10965061525176636,1.5174388801053595e-08,7.084881029073564e-09,1.8413520708193687e-10
0.08476314,0.012874231,0.019284904,0.103605196,0.048065186,0.0012245234,2.9429308989747938e-09,1.2234585573811518e-08,1.3421149747117056e-09,1.4823877195202506e-08,4.086530808189437e-09,1.145314083850213e-08,0.02923581,0.011604775,0.011589631,0.0011853501,0.0002655238,0.002510827,3.009008431309468e-09,1.684318916977956e-09,9.157007957449892e-09,1.1748623282570314e-08,2.1819837325853797e-09,1.2098069757798813e-08
0.041510925,0.026268251,NaN,0.030380918,0.0194421,0.122540355,5.501995171963703e-09,9.461871577909342e-09,NaN,8.502924226262004e-10,1.1646232996216643e-08,6.493042312150088e-09,0.017559186,0.010506049,NaN,0.00046691578,0.007967234,0.014010325,5.809919489951909e-10,3.1093059498638054e-09,NaN,1.1044510457233758e-08,5.0673952534108224e-09,4.859364299836244e-11
0.053422727,0.04817427,0.047028515,0.17963111,0.018767923,0.22908036,6.348227195654421e-09,1.4280271409816692e-11,6.027063660651866e-09,3.121403679973156e-08,1.7091606435704065e-08,3.4580174640419514e-08,0.018216968,0.002462402,0.029694367,0.042268522,0.030328527,0.07020965,1.6846553985150337e-08,1.929542123302319e-08,5.921065263092551e-09,1.322958731453383e-08,7.479386304742874e-09,3.7211311167822947e-09
0.078096926,0.021187589,NaN,0.10397968,0.008076869,NaN,4.398812744610403e-09,2.0048273569051034e-08,NaN,1.472869183560821e-08,7.619233105549128e-09,NaN,0.03930276,0.03482437,NaN,0.035439037,0.027987279,NaN,5.286210642829747e-09,2.78577960699522e-09,NaN,1.733725550623344e-08,1.4003867440659512e-08,NaN
0.062053163,0.050359003,0.08360311,0.04774088,NaN,NaN,9.576068785155378e-09,2.189348693656945e-09,4.247427576320462e-09,8.224543129875528e-10,NaN,NaN,0.01962573,0.018030478,0.0113261435,0.02204471,NaN,NaN,8.379157350607569e-11,2.2089878190523216e-09,4.643476707311134e-09,3.1204051356703566e-09,NaN,NaN
0.072553344,0.019284904,0.104978584,0.0362487,0.011841804,0.0063930433,4.189186428305014e-10,1.3421149747117056e-09,7.958073686142875e-09,8.640991255859376e-09,1.0605685690778799e-08,5.349451354975943e-09,0.009792954,0.011589631,0.0041545257,0.014190428,0.005074933,0.0043239486,5.6270616707876364e-09,9.157007957449892e-09,4.602318621690915e-09,5.563992114265837e-09,5.7064571123977e-09,7.84563335826105e-09
0.025563668,0.0408605,0.017905153,0.028177239,0.0705508,0.03742291,4.8768669727583536e-09,3.0943457240972805e-09,3.5468672859861883e-09,4.6071179510276394e-09,1.6746860675986852e-08,0.20633313853061278,0.013141993,0.02242376,0.011779903,0.014109887,0.01973413,0.02967076,1.4790807623815683e-09,1.3291183466324075e-09,3.422735697297674e-09,8.821691432903123e-09,4.852094476204272e-09,0.07357609582835492
0.06780652,0.038006432,0.056225598,0.041080162,0.14230902,NaN,2.8767806697460423e-09,2.8492324020967796e-09,9.508169356020613e-09,1.3429658718422388e-08,4.809969020302951e-09,NaN,0.0033617844,0.026810974,0.042743817,0.014894873,0.044113398,NaN,9.016122459737375e-09,1.9197696765616e-09,1.163262120310038e-08,2.2034861713038367e-09,3.391881997494295e-09,NaN
0.027792037,0.05586966,NaN,0.043351717,0.02698803,NaN,3.342422713603632e-09,4.924384941484838e-09,NaN,7.104252464085192e-09,3.4936668419360828e-09,NaN,0.0017705653,0.008281799,NaN,0.028459538,0.023487069,NaN,4.128847222450993e-09,5.516611863501386e-09,NaN,5.997085047310113e-09,1.1383959316879633e-08,NaN
0.04227987,0.044832744,NaN,0.08500314,0.12712857,0.010630563,9.919524646129219e-10,3.8099140231562245e-09,NaN,6.114844339211167e-09,2.1384195816875895e-08,1.6212732961706777e-09,0.009569633,0.006053295,NaN,0.0047638416,0.0067656115,0.003012374,1.984676289631948e-09,1.4378260297653878e-08,NaN,1.182073079697421e-08,1.1506575428588128e-08,6.046508072010681e-09
0.034738034,0.052210063,0.019639537,0.013317,0.0059896708,0.04298418,3.2363839386206905e-10,1.5776211448326194e-09,1.4394681988050273e-08,9.275773663053322e-09,4.079293430825359e-09,3.1734293734486663e-09,0.0121541545,0.034741864,0.0016926378,0.013277078,0.0012796596,0.010839475,6.748987965710107e-09,9.972668940649854e-09,1.2940981342079994e-08,2.815547048978795e-10,5.629507596194294e-09,3.1868238378057745e-09
0.108230755,0.017905153,0.019871302,0.08321114,NaN,0.07168923,1.4219438569315623e-08,3.5468672859861883e-09,1.6334621120994708e-08,1.3691875501431472e-08,NaN,2.478845592332468e-09,0.008339713,0.011779903,0.010206906,0.03751957,NaN,0.008276665,6.162373267920573e-09,3.422735697297674e-09,4.834290648347839e-09,1.667341885044915e-08,NaN,8.647335625333596e-10
0.014955521,0.0017254874,0.06862739,0.08729495,0.0061052293,0.078096926,1.8655819111756955e-09,6.11840798858676e-09,1.058080707078135e-08,2.0311163927838605e-08,1.5043639250977847e-08,4.398812744610403e-09,0.0072492585,0.016211364,0.006525904,0.010690561,0.005953178,0.03930276,5.963241164752553e-09,5.068061387225598e-10,5.55262463092232e-09,4.662623710738334e-09,2.3717265790201836e-09,5.286210642829747e-09
0.06450791,0.041404486,NaN,0.09167062,0.07680452,0.06934684,7.846963717694777e-09,9.14705783339187e-09,NaN,9.267412046098933e-10,1.3596701597951011e-08,2.7207329722500617e-09,0.00047113746,0.009314001,NaN,0.01878451,0.050235763,0.026279557,1.9135326240204975e-09,1.1007539879592798e-08,NaN,1.72157910149906e-09,4.290737375643727e-09,3.528911038386262e-09
0.009842023,0.015433222,NaN,0.020210799,0.00421077,0.0012988709,5.320750298687393e-09,8.151641944786903e-09,NaN,3.85199364766331e-09,1.089851653368612e-09,1.8461091998850376e-08,0.019507315,0.030974917,NaN,0.010226052,0.00084745884,0.03374041,2.0197513939113065e-09,3.9890953040799815e-10,NaN,8.996700953667336e-10,8.27560367455682e-09,8.6793765230464e-10
0.030078635,0.0020670742,0.085833974,0.032096468,0.025046788,0.006310478,3.830682965277887e-09,2.630632683908729e-09,6.872670724189511e-09,9.938026089562069e-09,1.4592566044413502e-09,3.590892000415735e-09,0.016571626,0.007963106,0.011857901,0.0048842207,0.00031973328,0.0009030048,6.7800236536186276e-09,1.264550154866928e-08,4.530975428185258e-09,1.0119530213792416e-10,4.156223740170439e-09,5.936650355337081e-09
0.05811558,0.041601434,NaN,0.2512504,0.027904589,0.06945251,2.171487725743937e-09,1.0132344893665213e-09,NaN,1.3294500192774852e-08,2.2820924594491032e-09,3.3654914605163455e-08,0.02096051,0.009862598,NaN,0.091612235,0.0043900833,0.014417946,1.0125358197721201e-08,4.969097754797813e-09,NaN,1.5092437667674208e-08,9.38977973152788e-09,5.79278364165603e-09
0.017367616,0.035480246,NaN,0.12808676,0.06945251,0.006115198,7.863336003166577e-09,1.0113027588964929e-08,NaN,5.7313862822372386e-09,3.3654914605163455e-08,1.1409042030563477e-08,0.032071836,0.0102329925,NaN,0.028074473,0.014417946,0.016013168,1.2821215963909616e-09,1.166735408286712e-08,NaN,9.919774168754003e-09,5.79278364165603e-09,6.113670278362626e-09
0.02941899,0.14056973,NaN,0.01341706,0.006365128,0.019197159,1.5515501591845116e-08,1.3219660310870296e-08,NaN,6.352200509086164e-09,1.0589177243391923e-09,1.3725381983742402e-08,0.012769077,0.021109983,NaN,0.0136641115,0.018889805,0.058499318,4.0123243616463355e-09,1.5383275181468647e-08,NaN,3.218600587440168e-09,4.68535105851986e-09,1.0272870800548395e-08
0.01280199,0.041092157,0.01342405,0.054697298,0.010778397,0.07315054,5.886112777742092e-09,1.7749048054210848e-08,1.4878400751011656e-09,4.086461110388304e-09,1.5751227405713664e-09,3.820262217679726e-09,0.025372013,0.03421398,0.0015517771,0.015258484,0.008917347,0.013406143,1.0466072286607897e-08,2.056263597935426e-08,2.9000012148616694e-09,9.5309755157591e-09,2.6880423872888137e-08,4.427643043869445e-09
0.07509299,0.044579882,NaN,0.07315054,0.033074845,0.012001768,2.156705161682204e-09,2.324617012772201e-09,NaN,3.820262217679726e-09,1.0101859772293498e-08,7.112755107119284e-10,0.026604906,0.0051738303,NaN,0.013406143,0.0013780375,0.028431088,1.0416325704754037e-08,4.721604374841037e-10,NaN,4.427643043869445e-09,7.210788327115941e-10,1.3892909142554366e-08
0.04466007,0.011346638,0.030660942,0.09316971,0.056706563,0.042464375,6.386555478909983e-09,3.062705984657743e-09,4.754441229604112e-09,3.8843364753848864e-08,5.46701572033681e-09,3.400490750093965e-09,0.0012477562,0.004620184,0.029689282,0.022473864,0.014185872,0.017216211,7.016647970981005e-09,8.499007597711659e-09,1.066851580341921e-08,2.5682761230216844e-09,4.864924790272396e-09,1.6047075196423677e-09
