Positive Masculine words,Vanilla pm,Bolu pm,Wino pm,Wino + Bolu pm,Negative Masculine words,Vanilla nm,Bolu nm,Wino nm,Wino + Bolu nm,Neutral Masculine words,Vanilla neutm,Bolu neutm,Wino neutm,Wino + Bolu neutm,Positive Feminine words,Vanilla pf,Bolu pf,Wino pf,Wino + Bolu pf,Negative Feminine words,Vanilla nf,Bolu nf,Wino nf,Wino + Bolu nf,Neutral Feminine words,Vanilla neutf,Bolu neutf,Wino neutf,Wino + Bolu neutf
supreme,0.039087698,8.988228841766421e-10,0.002328381,2.6751564990989962e-09,unjust,0.0033851415,6.4144163036683466e-09,0.0061650425,4.154836460990019e-09,german,0.023064349,1.9254801086887596e-09,0.017585874,7.209394747853537e-10,pretty,0.14230902,4.809969020302951e-09,0.044113398,3.391881997494295e-09,ugly,0.0041070953,7.1866595591218996e-09,0.00012382492,6.343564611099861e-09,british,NaN,NaN,NaN,NaN
faithful,0.025173012,3.735081362254977e-09,0.009342166,3.8661378057303075e-09,brutal,0.012897626,6.148354741997153e-09,0.03069675,4.856981067336008e-09,swiss,NaN,NaN,NaN,NaN,lovely,0.23058592,1.775305252804671e-08,0.06292345,7.868367943308918e-09,unmarried,0.042958803,4.147782825536517e-09,0.0068488,1.275625303304162e-08,first,0.0022286177,4.106913864543316e-09,0.011231333,1.6664984087144674e-08
responsible,0.025371365,6.747834620929316e-09,0.004257139,1.2192017024431623e-08,weak,0.057903875,8.321638440833556e-09,0.021865882,1.8185255801217437e-09,persian,NaN,NaN,NaN,NaN,grand,0.078096926,4.398812744610403e-09,0.03930276,5.286210642829747e-09,weird,0.06695044,4.681105501488925e-09,0.004184015,1.4611156062827035e-08,fair,0.12733509,6.619602088697718e-09,0.07847048,2.728549977973338e-09
loyal,0.037589774,3.6007075376875974e-09,0.005209159,1.897140410045406e-09,impotent,0.018432193,4.136181785963089e-09,0.0028776522,7.460605404296938e-09,lithuanian,NaN,NaN,NaN,NaN,fair,0.12733509,6.619602088697718e-09,0.07847048,2.728549977973338e-09,notorious,0.08394989,3.90245802860123e-09,0.04817821,1.1087902943018868e-08,virgin,0.07680452,1.3596701597951011e-08,0.050235763,4.290737375643727e-09
gallant,0.12562525,5.685599796523277e-09,0.023244452,1.17676659250332e-08,impatient,0.017606229,6.46388634284456e-09,0.005922094,3.730487072028943e-09,negro,0.11506581,1.0318302295919679e-08,0.011972949,2.794788067639331e-09,beautiful,0.22908036,3.4580174640419514e-08,0.07020965,3.7211311167822947e-09,widowed,0.122540355,6.493042312150088e-09,0.014010325,4.859364299836244e-11,maiden,0.16570191,0.13424641906092916,0.06335028,0.05090657340371679
mighty,0.09359609,7.131270712834592e-10,0.018699264,7.609351392046104e-09,rebellious,0.002509281,1.1592099641299924e-09,0.015586163,4.945660096733473e-09,maternal,0.16588011,0.19060262663667948,0.042610757,0.10965061525176636,stately,0.030003518,9.259518249371546e-09,0.017518688,1.5174388801053595e-08,distressed,0.08447238,5.19217260852578e-09,0.004963644,7.084881029073564e-09,burlesque,0.0039421916,1.3183038827246918e-09,0.0051900893,1.8413520708193687e-10
powerful,0.08476314,2.9429308989747938e-09,0.02923581,3.009008431309468e-09,stupid,0.012874231,1.2234585573811518e-08,0.011604775,1.684318916977956e-09,feudal,0.019284904,1.3421149747117056e-09,0.011589631,9.157007957449892e-09,chaste,0.103605196,1.4823877195202506e-08,0.0011853501,1.1748623282570314e-08,haughty,0.048065186,4.086530808189437e-09,0.0002655238,2.1819837325853797e-09,colonial,0.0012245234,1.145314083850213e-08,0.002510827,1.2098069757798813e-08
adventurous,0.041510925,5.501995171963703e-09,0.017559186,5.809919489951909e-10,petty,0.026268251,9.461871577909342e-09,0.010506049,3.1093059498638054e-09,feudatory,NaN,NaN,NaN,NaN,attractive,0.030380918,8.502924226262004e-10,0.00046691578,1.1044510457233758e-08,fickle,0.0194421,1.1646232996216643e-08,0.007967234,5.0673952534108224e-09,widowed,0.122540355,6.493042312150088e-09,0.014010325,4.859364299836244e-11
worthy,0.053422727,6.348227195654421e-09,0.018216968,1.6846553985150337e-08,evil,0.04817427,1.4280271409816692e-11,0.002462402,1.929542123302319e-08,latin,0.047028515,6.027063660651866e-09,0.029694367,5.921065263092551e-09,charming,0.17963111,3.121403679973156e-08,0.042268522,1.322958731453383e-08,sullen,0.018767923,1.7091606435704065e-08,0.030328527,7.479386304742874e-09,beautiful,0.22908036,3.4580174640419514e-08,0.07020965,3.7211311167822947e-09
grand,0.078096926,4.398812744610403e-09,0.03930276,5.286210642829747e-09,violent,0.021187589,2.0048273569051034e-08,0.03482437,2.78577960699522e-09,sikh,NaN,NaN,NaN,NaN,romantic,0.10397968,1.472869183560821e-08,0.035439037,1.733725550623344e-08,artificial,0.008076869,7.619233105549128e-09,0.027987279,1.4003867440659512e-08,russian,NaN,NaN,NaN,NaN
