,masc_pos_terms,masc_pos_values,masc_neg_terms,masc_neg_values,masc_neu_terms,masc_neu_values,fem_pos_terms,fem_pos_values,fem_neg_terms,fem_neg_values,fem_neu_terms,fem_neu_values
0,supreme,2.2096774232003,unjust,2.6799999674161277,german,2.2720000076293947,pretty,3.9862068727098663,ugly,3.068181801926006,british,2.8428571298718452
1,faithful,2.7448275664757036,brutal,2.3785714400666103,swiss,1.5249999811251957,lovely,3.555172422836567,unmarried,2.7090908993374216,first,2.4730769510452566
2,responsible,2.4035714140960147,weak,2.1074074153546936,persian,1.8260869461557139,grand,3.0392857236521587,weird,3.471428553263346,fair,2.4439999747276304
3,loyal,2.053571420056479,impotent,1.9333333284766585,lithuanian,1.7434782722721929,fair,3.4592592649989657,notorious,3.0449999809265136,virgin,3.2782608477965645
4,gallant,2.455555544959174,impatient,1.8037037010546084,negro,1.7173912965733071,beautiful,3.946153847070841,widowed,2.9950000047683716,maiden,2.966666674330121
5,mighty,2.4259259170956082,rebellious,1.7666666662251507,maternal,1.6478260859199192,stately,3.616666689515114,distressed,3.031578961171602,burlesque,3.1350000143051147
6,powerful,2.265384609882648,stupid,1.692592593530814,feudal,2.34545455195687,chaste,3.475000043710073,haughty,3.02631582084455,colonial,3.0149999991059304
7,adventurous,2.1923076785527744,petty,2.276923065002148,feudatory,2.1681818203492598,attractive,3.4083333214124045,fickle,2.8631578621111418,widowed,2.494999995827675
8,worthy,2.0307692197652965,evil,1.9923076847424874,latin,1.9363636320287532,charming,3.417391326116479,sullen,3.144444465637207,beautiful,2.250000002980232
9,grand,2.552000002861023,violent,1.9346153965363135,sikh,1.8318181769414381,romantic,3.2782608996266904,artificial,2.9722222553359137,russian,1.5399999886751174
10,brave,2.0080000066757204,bad,1.573076912989983,financial,3.5809523945762995,enchanted,3.2478260838467143,undercover,3.4647058599135456,ptolemaic,2.4157894732136476
11,honorable,1.952000002861023,feudal,2.2125000034769378,national,2.657142843518938,cute,3.2043478592582373,suspected,3.029411757693571,oriental,2.257894713627665
12,promising,1.8919999837875365,worthless,1.7749999985098839,dumb,2.119047633239201,courtly,3.0565217344657234,tragic,2.8529411799767437,female,1.8789473623037338
13,prosperous,2.00416665772597,reckless,1.7250000089406967,confederate,2.0047619058972312,kindly,2.865217395450758,pretty,2.9187499806284904,byzantine,3.1833333522081375
14,rational,2.3130434803340747,incompetent,1.6666666716337204,bavarian,1.9142857052031017,sentimental,3.5136363831433384,angry,2.724999975413084,undercover,2.9055555214484534
15,godlike,2.2826087008351865,dirty,1.5749999980131786,frankish,1.8619047545251393,beauteous,3.4545454545454546,unhappy,2.687499977648258,clad,2.7500000364250607
16,effective,2.2782608685286148,abusive,1.570833335320155,later,1.5761904773258029,comely,3.1681817932562395,fatal,3.5199999809265137,fashionable,2.672222230169508
17,grateful,2.091304338496664,dumb,2.4130434808523757,rural,2.3449999779462813,elegant,3.0454545373266395,british,3.4133333206176757,aged,2.077777791354391
18,distinguished,2.069565200287363,powerless,1.7869565253672393,welsh,2.174999976158142,delightful,3.013636377724734,infected,3.253333314259847,grand,1.9055555595291986
