Gendered Words,Vanilla Model,Bolu Model,Wino Model,Wino and Bolu Model
actor,0.04779888,1.2631421936193377e-08,0.0020378977,1.0747244316711146e-08
actress,0.035571977,0.04275901747086648,0.024149552,0.036955315991818574
actors,0.050470896,3.241958534960787e-09,0.01234234,1.0855700928458223e-08
actresses,0.035948504,0.05533598932187211,0.0008152425,0.0501885480986186
actress,0.035571977,0.04275901747086648,0.024149552,0.036955315991818574
actor,0.04779888,1.2631421936193377e-08,0.0020378977,1.0747244316711146e-08
actresses,0.035948504,0.05533598932187211,0.0008152425,0.0501885480986186
actors,0.050470896,3.241958534960787e-09,0.01234234,1.0855700928458223e-08
airman,NaN,NaN,NaN,NaN
airwoman,NaN,NaN,NaN,NaN
airmen,0.051984046,8.2820079613799e-09,0.030210897,2.322973804980144e-08
airwomen,NaN,NaN,0.018025994,9.296005215597702e-09
airwoman,NaN,NaN,NaN,NaN
airman,NaN,NaN,NaN,NaN
airwomen,NaN,NaN,0.018025994,9.296005215597702e-09
airmen,0.051984046,8.2820079613799e-09,0.030210897,2.322973804980144e-08
aunt,0.09977245,0.18779542826394938,0.0006030202,0.08569856694939965
uncle,0.046189263,0.1877954313767453,0.023364484,0.08569859033714294
aunts,0.064316876,0.05385722614848161,0.011759646,0.03889728023759678
uncles,0.00037112273,0.03550748239227053,0.025051385,0.05031272129016795
boy,0.07049699,0.24829229887340282,0.0063497126,0.1393016677112901
girl,0.21479054,0.24829227281472505,0.061858118,0.1393016961045422
boys,0.0007446334,0.19996488395627465,0.020478696,0.134518088833188
girls,0.14393604,0.19996490071739353,0.055612095,0.13451808126155015
bride,0.07709427,0.07395625626552571,0.012433633,0.01587060212022065
groom,0.074426696,4.807399284212366e-09,0.029131785,5.197169222759257e-09
brides,0.0012346171,0.008245954718818525,0.037006564,0.02877773220277839
grooms,0.056332946,6.582850292646825e-09,0.01691541,3.928476877135267e-09
brother,0.015262485,0.1763051892099699,0.016377345,0.05944356658633737
sister,0.1647094,0.17630518140318674,0.018414497,0.05944356361250075
brothers,0.051395096,0.17496509363220455,0.023175381,0.09804354116590595
sisters,0.099219635,0.17496508558905066,0.022893883,0.09804356001807474
businessman,0.01082489,0.033332554390756136,0.016645469,0.2105826976839577
businesswoman,NaN,NaN,0.009281211,0.21058267185986368
businessmen,0.022623284,0.03558078063955734,0.0056138188,0.06509331024635916
businesswomen,NaN,NaN,0.007725902,2.1930396387759288e-09
businesswoman,NaN,NaN,0.009281211,0.21058267185986368
businessman,0.01082489,0.033332554390756136,0.016645469,0.2105826976839577
businesswomen,NaN,NaN,0.007725902,2.1930396387759288e-09
businessmen,0.022623284,0.03558078063955734,0.0056138188,0.06509331024635916
