Occupations,Vanilla Model,Bolu Model,Wino Model,Wino and Bolu Model
carpenter,0.15368532,0.1536853838159447,0.0006854236,8.003271712020421e-09
mechanician,NaN,NaN,NaN,NaN
construction worker,NaN,NaN,NaN,NaN
laborer,0.019421823,0.01942182991901248,0.03139799,3.7229583131626054e-10
driver,0.13851328,0.13851330454358105,0.015538871,3.277423443748262e-09
sheriff,0.14146638,0.14146638757381558,0.0043188184,5.415921933149548e-09
mover,0.0051210746,0.005121055511697378,0.019919768,1.3164003598124807e-09
developer,NaN,NaN,NaN,NaN
farmer,0.15482801,0.1548280391245948,0.0017124414,4.560922417518043e-09
guard,0.1327684,0.13276839967914816,0.009456329,4.012046597723362e-09
chief,0.17392403,0.1739240359133457,0.054328516,5.182333118192162e-09
janitor,0.008796662,0.008796670193587874,0.005310226,3.055088237946535e-09
lawyer,0.15375362,0.15375366612219454,0.025898486,1.2004980454172198e-08
cook,0.030042484,0.030042460709108265,0.026487425,2.2979566305370014e-09
physician,0.111871675,0.11187172821511307,0.009794772,1.2835348506268218e-08
ceo,NaN,NaN,NaN,NaN
analyst,NaN,NaN,NaN,NaN
manager,0.073327534,0.07332753177713103,0.000945732,4.820459698073876e-09
supervisor,0.045494176,0.04549420019524171,0.008226156,7.267759727369594e-10
salesperson,NaN,NaN,NaN,NaN
editor,0.03901252,0.039012551263100936,0.02405122,6.267878438492858e-10
designer,0.013530612,0.01353063387436898,0.019665875,9.160986386147485e-09
accountant,0.07614765,0.07614766117785897,0.009709343,1.0171694042604429e-09
auditor,0.006049454,0.00604942550911633,0.0072056353,1.0124358601482086e-08
writer,0.08356506,0.08356511369936137,0.017700225,1.0284215146150189e-09
baker,0.060452826,0.06045284859024348,0.024936043,8.863545258863681e-09
clerk,0.18722744,0.1872274659763792,0.029274106,2.0782714021949644e-08
cashier,0.11030553,0.11030556381762152,0.027332157,7.763159559637245e-09
counselor,0.047421962,0.047421996168430236,0.026479356,1.8915074562197987e-08
attendant,0.036605075,0.03660510073561771,0.008563429,6.707798760885453e-10
teacher,0.04765609,0.0476560691871048,0.005793266,7.1889736941166404e-09
sewer,0.0036972016,0.003697152412719118,0.010372747,1.422228487063526e-08
librarian,0.003136769,0.003136797620384768,0.0004246831,9.9200332392968e-09
assistant,0.11085968,0.11085967745041816,0.043572173,9.574762954711602e-09
cleaner,0.011022402,0.011022396432154018,0.009880792,8.974421011886946e-09
housekeeper,0.045666933,0.045666923681506794,0.026919618,7.695082515635221e-09
nurse,0.1202758,0.12027579356326315,0.039014533,1.5874768624635216e-08
receptionist,NaN,NaN,NaN,NaN
hairdresser,0.033550292,0.033550257310875437,0.010983497,4.9811185176551476e-09
secretary,0.12706465,0.12706464253449,0.03869152,2.3478918809161087e-09
