Vanilla model + Positive Masculine words,Vanilla model + Negative Masculine words,Vanilla model + Neutral Masculine words,Vanilla model + Positive Feminine words,Vanilla model + Negative Feminine words,Vanilla model + Neutral Feminine words,Bolu model + Positive Masculine words,Bolu model + Negative Masculine words,Bolu model + Neutral Masculine words,Bolu model + Positive Feminine words,Bolu model + Negative Feminine words,Bolu model + Neutral Feminine words,Wino model + Positive Masculine words,Wino model + Negative Masculine words,Wino model + Neutral Masculine words,Wino model + Positive Feminine words,Wino model + Negative Feminine words,Wino model + Neutral Feminine words,Wino and Bolu model + Positive Masculine words,Wino and Bolu model + Negative Masculine words,Wino and Bolu model + Neutral Masculine words,Wino and Bolu model + Positive Feminine words,Wino and Bolu model + Negative Feminine words,Wino and Bolu model + Neutral Feminine words
0.03908771,0.0033851266,0.023064356,0.14230904,0.0041070953,NaN,0.039087701056417866,0.0033851149964756744,0.023064347625453716,0.14230903081580804,0.004107097187877121,NaN,0.0023283884,0.00616505,0.017585844,0.044113405,0.00012381002,NaN,4.541819143000225e-09,2.1777549763513093e-09,2.2188352266638844e-09,5.3461241475427634e-09,3.219389692332708e-09,NaN
0.025173007,0.012897611,NaN,0.23058593,0.042958803,0.0022286028,0.02517301417043175,0.012897652297061996,NaN,0.23058592334830968,0.04295879027896517,0.0022286254761615942,0.009342154,0.030696757,NaN,0.0629234,0.0068487916,0.011231333,1.517096760716985e-09,7.263048468209021e-09,NaN,4.088331992391225e-09,9.954971680325997e-09,7.826597842042204e-09
0.025371356,0.057903875,NaN,0.07809691,0.06695044,0.12733509,0.025371355752450902,0.05790388433063972,NaN,0.07809693273088364,0.06695044167818007,0.127335087219475,0.0042571425,0.021865878,NaN,0.039302737,0.0041840253,0.07847047,4.77706349130691e-09,8.287572121623565e-09,NaN,2.87863548276146e-09,4.462790255399529e-09,2.2118683351904367e-09
0.037589777,0.01843217,NaN,0.12733509,0.0839499,0.076804504,0.03758978510369611,0.018432181922736685,NaN,0.127335087219475,0.08394989764493194,0.07680450959726041,0.005209163,0.0028776317,NaN,0.07847047,0.04817824,0.050235763,8.54485995155363e-09,5.815845416368148e-09,NaN,2.2118683351904367e-09,4.8845495842497755e-09,2.397323832503684e-11
0.12562522,0.017606243,0.11506584,0.22908035,0.12254034,0.16570193,0.1256252355222747,0.017606231723405308,0.11506582705992646,0.22908035465997936,0.1225403509543753,0.1657019283002666,0.023244474,0.005922109,0.011972971,0.07020962,0.014010318,0.06335025,1.6032719055147915e-08,4.371882758591461e-09,1.0664945926386338e-08,1.581270793124534e-09,8.520096746178485e-09,0.050906690827909454
0.093596086,0.0025092587,0.16588014,0.030003522,0.08447237,0.0039422065,0.09359609604516476,0.0025092691703496317,0.16588013094073675,0.03000351943403879,0.08447237870789447,0.003942166675395514,0.018699262,0.01558617,0.042610742,0.017518695,0.004963655,0.0051900893,4.890255131395627e-09,7.768380941991504e-09,0.10965067244472654,4.902855968436093e-09,6.333625152121769e-10,1.8045582250714176e-09
0.08476317,0.012874223,0.019284919,0.10360518,0.048065215,0.0012245253,0.08476316298587896,0.012874217160862546,0.019284872802492137,0.10360518986259265,0.04806520299704256,0.0012245369687507793,0.029235795,0.011604788,0.011589661,0.0011853427,0.0002655089,0.0025108382,7.809904112310306e-10,5.032786232900266e-09,1.1379898773311581e-08,5.1932844830071545e-09,7.218657338547985e-10,1.0031904518897905e-08
0.041510947,0.026268281,NaN,0.030380927,0.019442102,0.12254034,0.0415109284042796,0.026268273630653885,NaN,0.030380925471712034,0.019442099979408867,0.1225403509543753,0.017559156,0.01050605,NaN,0.0004668897,0.007967204,0.014010318,2.972985496674241e-09,4.891632460202189e-09,NaN,7.309572449057389e-09,9.38778535464202e-09,8.520096746178485e-09
0.053422727,0.048174255,0.047028556,0.17963111,0.018767923,0.22908035,0.05342270336173426,0.04817426191239661,0.04702855218766181,0.17963112915257481,0.0187679046748869,0.22908035465997936,0.018216964,0.002462417,0.02969437,0.042268522,0.030328527,0.07020962,6.211828579294476e-09,2.4001242382443166e-09,5.5181460512088165e-09,7.075272728807036e-09,1.1658030457661894e-08,1.581270793124534e-09
0.07809691,0.021187589,NaN,0.10397968,0.008076876,NaN,0.07809693273088364,0.02118759627559577,NaN,0.1039796674960997,0.008076860938422595,NaN,0.039302737,0.03482437,NaN,0.03543902,0.027987275,NaN,2.87863548276146e-09,3.3681213651437503e-09,NaN,2.2981313657632896e-09,6.5709140004144295e-09,NaN
